qubit,T1_us,T1_err_us,T2_us,T2_err_us
112,249.09772271059074,10.245829587177738,220.89719929771832,8.915259139303622
113,172.35737374224666,111.50551570056459,116420534.2509958,51823474710384.09
114,301.16103413987,16.816742083676566,335.51731103738274,17.51263367906763
115,184.85585430794748,5.263285943554746,70.93367516204538,2.9316428436807183
116,72.23973259609132,1.1013849191419203,102.39410324282696,3.8266374205143467
117,227.7431167466627,8.491235478686846,9.92675474555764,2.071861183857344
118,192.94649325837054,5.917772161999262,30.569485938134807,1.951706871442832
119,238.50932020512926,10.285423859023293,21.40685363645264,2.1250105912250237
120,280.2670396053988,13.65522310529687,77.73622279406258,3.0739931668531217
121,308.230670918187,18.39225424085694,619.1764601341696,47.32517941901375
122,262.02887632977496,11.43497124910806,24.28324556722786,1.7054934823385766
123,162.27128044276867,4.887262524019504,87.17597133747519,3.9117420064195323
124,137.47522430535832,2.760739282476419,152.53138551331767,5.753045441079754
125,206.54481710419068,7.0754697854992505,43.48669863409205,2.363702004048404
126,127.5711923595684,2.4937421968223115,37.575064231470954,2.069949714914724
127,224.93465147902714,7.779534560511485,14.774838037073787,1.6841661650536224
128,200.83781590491125,6.61585634975095,257.6551595099257,11.794163461833742
129,196.97346697806276,5.969918216403145,172.57183487867965,6.786463961882222
130,312.113654633413,32.159416933902214,73.06897573327875,4.8135166468503225
131,168.5927419196868,4.168271883979537,180.63573996094394,6.961107767062725
132,400.0788290927126,31.534662165703896,52.091121346263684,2.505926399424065
133,243.18807971358646,11.289574655809634,79.66711381896847,3.532336224094103
134,174.76319457221152,4.576782377242064,119.271479504475,4.454731548652371
135,579.9153808071336,81.4669221450124,95.18398584781232,3.874270333548073
136,259.6908302925955,11.52709941633281,321.4935941390584,15.644818908993454
137,152.45349360873348,3.3110634269794756,80.26230693776778,3.1805320439225735
138,347.53664261999404,22.68395088091923,173.6790439080561,6.937485859273863
139,138.47901121783224,2.7380801761182965,187.3501430574687,7.411584284866487
140,177.21779223759097,4.615191794246929,54.40509328138635,2.552640155815776
141,303.3282479026764,17.15432770975245,323.73373516050634,15.625040335049201
142,196.82822121455996,5.916310533973935,199.36588931103412,8.134801486117219
143,183.3731385172648,5.863128510687892,83.85275644917233,3.6540083060685715
144,101.30590144398619,1.5688849830823937,32.36306909645669,1.9096980032656241
145,72.92561066767877,1.2177450089785546,84.54349696213342,3.3771302133840955
146,119.95713011410142,2.137336948546058,57.49473309790134,2.6181545442570937
147,209.58640938269002,7.6027926138730155,61.58824135448894,2.80898817941018
148,302.4459361773211,16.68354879970342,142.6467692732629,5.347334433146417
149,210.1826434143675,7.105425058746642,119.55214452393652,4.610336036030736
150,128.76827472165888,2.3572236813733363,148.44256386469323,5.6016497656457265
151,208.77883627467133,7.10165475338487,92.58614083819118,3.710817800183678
152,352.9963972689869,23.900590651187393,167.79967315226332,6.327898405507747
153,252.2607943355816,15.517173696598833,285.4599260804803,17.637735382807275
154,269.48793015937883,12.509488931308283,14.967283095021063,1.782459372926756
155,366.37785511517393,25.409372756200522,150.64126663514924,5.8272962677286175
